"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"C1","0.33uf","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","","1","","",""
"C2","0.1uf","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","","1","","",""
"C3","100nF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~","1","","",""
"C4","1nF","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","~","1","","",""
"C5","47uf","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~","1","","",""
"C6,C11","0.01u","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","~","2","","",""
"C7","100nf","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~","1","","",""
"C8","1uf","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~","1","","",""
"C9","1nf","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~","1","","",""
"D1,D2,D3,D4","1N4148WT","Diode_THT:D_5W_P10.16mm_Horizontal","https://www.diodes.com/assets/Datasheets/ds30396.pdf","4","","",""
"D5","TSAL4400","LED_THT:LED_D3.0mm_IRBlack","http://www.vishay.com/docs/81006/tsal4400.pdf","1","","",""
"D6,D7,D8,D9","D","Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal","~","4","","",""
"D10","BZV55B5V1","Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/BZV55_SER.pdf","1","","",""
"D11","BZV55B3V9","Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/BZV55_SER.pdf","1","","",""
"D12","BZV55B3V3","Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/BZV55_SER.pdf","1","","",""
"D13,D14","1N4148WT","Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal","https://www.diodes.com/assets/Datasheets/ds30396.pdf","2","","",""
"H1,H2,H3,H4","MountingHole","MountingHole:MountingHole_2.5mm_Pad_Via","~","4","","Exclure de la Liste du Matériel",""
"J1,J2,J3","Conn_01x02_Pin","Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical","~","3","","",""
"LS1","AST-1732MR-R","footprints:SPKR_AST-1732MR-R","","1","","",""
"Q1,Q2,Q3,Q4","NPN","Package_TO_SOT_THT:TO-92_Inline","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_BJTs","4","","",""
"R1,R12,R13","100R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","3","","",""
"R2","8KR","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","1","","",""
"R3,R4,R23,R26,R27","1KR","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","5","","",""
"R5,R6","19.6kR","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","2","","",""
"R7","47R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","1","","",""
"R8","47KR","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","1","","",""
"R9","4.7KR","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","1","","",""
"R10","4KR","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","1","","",""
"R11,R21,R25","10KR","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","3","","",""
"R14,R15,R16,R17,R18,R19,R20","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","7","","",""
"R22,R24","100KR","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","2","","",""
"RV1","100KR","Potentiometer_THT:Potentiometer_Bourns_3266W_Vertical","~","1","","",""
"SW1,SW2","SW_Push_Dual_x2","footprints:SW_FSM8JH","~","2","","",""
"T1","Transformer_1P_1S","Transformer_THT:Transformer_37x44","~","1","","",""
"U1","L7812","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","1","","",""
"U2,U3,U6","NE555D","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/ne555.pdf","3","","",""
"U7","CD4033B","Package_DIP:DIP-16_W7.62mm","https://www.ti.com/lit/ds/symlink/cd4033b.pdf","1","","",""
"U8","D168K","Display_7Segment:D1X8K","https://ia800903.us.archive.org/24/items/CTKD1x8K/Cromatek%20D168K.pdf","1","","",""
"U10","40106","Package_DIP:DIP-14_W10.16mm","https://assets.nexperia.com/documents/data-sheet/HEF40106B.pdf","1","","",""
"U14","TSOP32S40F","OptoDevice:Vishay_MOLD-3Pin","http://www.vishay.com/docs/82669/tsop32s40f.pdf","1","","",""
